"","x"
"1","No schooling"
"2","Graduation"
"3","Middle"
"4","Intermediate"
"5","Matric"
"6","Matric"
"7","No schooling"
"8","Middle"
"9","Intermediate"
"10","Preschool/ Primary"
"11","Matric"
"12","Preschool/ Primary"
"13","No schooling"
"14","Matric"
"15","Preschool/ Primary"
"16","Matric"
"17","No schooling"
"18","No schooling"
"19","Graduation"
"20","Preschool/ Primary"
"21","Matric"
"22","No schooling"
"23","Intermediate"
"24","Preschool/ Primary"
"25","Matric"
"26","Preschool/ Primary"
"27","No schooling"
"28","Intermediate"
"29","Matric"
"30","Preschool/ Primary"
"31","Preschool/ Primary"
"32","Middle"
"33","No schooling"
"34","No schooling"
"35","Preschool/ Primary"
"36","Matric"
"37","No schooling"
"38","Preschool/ Primary"
"39","No schooling"
"40","Middle"
"41","Masters or above"
"42","Preschool/ Primary"
"43","Preschool/ Primary"
"44","Preschool/ Primary"
"45","Preschool/ Primary"
"46","Masters or above"
"47","No schooling"
"48","No schooling"
"49","Middle"
"50","No schooling"
"51","Preschool/ Primary"
"52","Preschool/ Primary"
"53","No schooling"
"54","No schooling"
"55","Preschool/ Primary"
"56","Preschool/ Primary"
"57","Matric"
"58","Middle"
"59","No schooling"
"60","Matric"
"61","Preschool/ Primary"
"62","Graduation"
"63","No schooling"
"64","Matric"
"65","Graduation"
"66","Graduation"
"67","Preschool/ Primary"
"68","No schooling"
"69","No schooling"
"70","Intermediate"
"71","Preschool/ Primary"
"72","Preschool/ Primary"
"73","No schooling"
"74","Masters or above"
"75","Masters or above"
"76","Matric"
"77","Matric"
"78","Matric"
"79","Intermediate"
"80","Graduation"
"81","No schooling"
"82","No schooling"
"83","Middle"
"84","Graduation"
"85","Masters or above"
"86","Intermediate"
"87","No schooling"
"88","Middle"
"89","No schooling"
"90","No schooling"
"91","Masters or above"
"92","Intermediate"
"93","Middle"
"94","Matric"
"95","No schooling"
"96","No schooling"
"97","Preschool/ Primary"
"98","Middle"
"99","Preschool/ Primary"
"100","Intermediate"
"101","Intermediate"
"102","Preschool/ Primary"
"103","Matric"
"104","Preschool/ Primary"
"105","Intermediate"
"106","Matric"
"107","No schooling"
"108","No schooling"
"109","Preschool/ Primary"
"110","Preschool/ Primary"
"111","Preschool/ Primary"
"112","Middle"
"113","No schooling"
"114","No schooling"
"115","No schooling"
"116","Intermediate"
"117","Preschool/ Primary"
"118","Masters or above"
"119","Intermediate"
"120","Middle"
"121","No schooling"
"122","Graduation"
"123","Graduation"
"124","Matric"
"125","Intermediate"
"126","No schooling"
"127","Matric"
"128","Middle"
"129","Graduation"
"130","Graduation"
"131","Middle"
"132","Intermediate"
"133","Intermediate"
"134","Matric"
"135","Matric"
"136","Middle"
"137","No schooling"
"138","Middle"
"139","Intermediate"
"140","Middle"
"141","Intermediate"
"142","Middle"
"143","No schooling"
"144","Masters or above"
"145","Preschool/ Primary"
"146","Middle"
"147","Middle"
"148","No schooling"
"149","Middle"
"150","No schooling"
"151","No schooling"
"152","No schooling"
"153","No schooling"
"154","No schooling"
"155","No schooling"
"156","No schooling"
"157","Middle"
"158","No schooling"
"159","No schooling"
"160","Masters or above"
"161","No schooling"
"162","No schooling"
"163","No schooling"
"164","No schooling"
"165","Preschool/ Primary"
"166","No schooling"
"167","No schooling"
"168","Preschool/ Primary"
"169","Intermediate"
"170","Preschool/ Primary"
"171","Matric"
"172","No schooling"
"173","Preschool/ Primary"
"174","Preschool/ Primary"
"175","No schooling"
"176","Graduation"
"177","No schooling"
"178","Preschool/ Primary"
"179","No schooling"
"180","No schooling"
"181","No schooling"
"182","No schooling"
"183","Matric"
"184","Matric"
"185","Masters or above"
"186","Preschool/ Primary"
"187","No schooling"
"188","Matric"
"189","Preschool/ Primary"
"190","No schooling"
"191","No schooling"
"192","No schooling"
"193","No schooling"
"194","No schooling"
"195","Preschool/ Primary"
"196","Masters or above"
"197","No schooling"
"198","No schooling"
"199","No schooling"
"200","Middle"
"201","Matric"
"202","Preschool/ Primary"
"203","Matric"
"204","Preschool/ Primary"
"205","Preschool/ Primary"
"206","Graduation"
"207","Preschool/ Primary"
"208","Preschool/ Primary"
"209","Preschool/ Primary"
"210","Middle"
"211","No schooling"
"212","No schooling"
"213","Preschool/ Primary"
"214","Matric"
"215","Matric"
"216","No schooling"
"217","Preschool/ Primary"
"218","Matric"
"219","Preschool/ Primary"
"220","No schooling"
"221","No schooling"
"222","Middle"
"223","Preschool/ Primary"
"224","No schooling"
"225","Matric"
"226","Matric"
"227","No schooling"
"228","No schooling"
"229","Preschool/ Primary"
"230","Intermediate"
"231","Middle"
"232","Middle"
"233","Intermediate"
"234","No schooling"
"235","Middle"
"236","Preschool/ Primary"
"237","No schooling"
