"age","ageGroup","area","laborForce","employment","industry","barrier","empType","homeBased","informal","sequence","weight"
45,"25-64","Rural","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Rural-Not in labor force-Lack of appropriate job opportunities",1.068869
40,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.068869
17,"15-24","Rural","Not in labor force",NA,NA,"Transport",NA,NA,NA,"Rural-Not in labor force-Transport",1.068869
21,"15-24","Rural","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Rural-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",1.068869
29,"25-64","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",1.068869
20,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.068869
22,"15-24","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",1.068869
17,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.068869
19,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.068869
16,"15-24","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",1.068869
41,"25-64","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",1.068869
45,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.068869
21,"15-24","Rural","Not in labor force",NA,NA,"Transport",NA,NA,NA,"Rural-Not in labor force-Transport",1.068869
39,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.068869
24,"15-24","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",1.068869
24,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.068869
38,"25-64","Rural",`"Not in labor force"`,NA,NA,"Male Colleagues",NA,NA,NA,"Rural-Not in labor force-Male Colleagues",1.068869
61,"25-64","Rural","Labor force","employed","Agriculture",NA,"Self employed","home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-home based",0.395683
29,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.395683
